Gene symbol,Feature ID,Chromosome,Start,End
PDLIM3,PDLIM3_E6,chr4,186452602,186455002
PDLIM3,PDLIM3_P1,chr4,186455087,186458192
PDLIM3,PDLIM3_E7,chr4,186455900,186456050
PDLIM3,PDLIM3_E8,chr4,186456205,186456355
PDLIM3,PDLIM3_E9,chr4,186456360,186456510
PDLIM3,PDLIM3_E10,chr4,186459791,186465584
PDLIM3,PDLIM3_E11,chr4,186474370,186475403
PDLIM3,PDLIM3_E12,chr4,186475691,186476694
PDLIM3,PDLIM3_E13,chr4,186480387,186482029
PDLIM3,PDLIM3_E14,chr4,186484080,186485754
PDLIM3,PDLIM3_E15,chr4,186486652,186495532
PDLIM3,PDLIM3_E16,chr4,186497240,186499275
PDLIM3,PDLIM3_E17,chr4,186501643,186507106
PDLIM3,PDLIM3_E18,chr4,186510562,186511211
PDLIM3,PDLIM3_E19,chr4,186511752,186515161
PKP2,PKP2_E1,chr12,32986650,32988027
PKP2,PKP2_E2,chr12,32988537,32990769
PKP2,PKP2_E3,chr12,32992261,32998378
PKP2,PKP2_E4,chr12,32998891,33001445
PKP2,PKP2_E5,chr12,33004773,33005789
PKP2,PKP2_E6,chr12,33006304,33008443
PKP2,PKP2_E7,chr12,33009567,33010430
PKP2,PKP2_E8,chr12,33012885,33013633
PKP2,PKP2_E9,chr12,33021768,33037351
PKP2,PKP2_E10,chr12,33037569,33038720
PKP2,PKP2_E11,chr12,33038782,33041003
PKP2,PKP2_E12,chr12,33041321,33048035
PKP2,PKP2_P1,chr12,33047919,33051274
PKP2,PKP2_E13,chr12,33048705,33048855
PLEKHM2,PLEKHM2_E1,chr1,16005133,16005396
PLEKHM2,PLEKHM2_E2,chr1,16007081,16008123
PLEKHM2,PLEKHM2_P1,chr1,16008123,16012128
PLEKHM2,PLEKHM2_E3,chr1,16011425,16011575
PLEKHM2,PLEKHM2_E4,chr1,16016893,16050493
PLN,PLN_E1,chr6,118845191,118867960
PLN,PLN_P1,chr6,118867914,118870892
PLN,PLN_E2,chr6,118870960,118892882
PRDM16,PRDM16_P1,chr1,2982833,2987274
PRDM16,PRDM16_E1,chr1,2987274,3003423
PRDM16,PRDM16_E2,chr1,3004569,3006318
PRDM16,PRDM16_E3,chr1,3007538,3020165
PRKAG2,PRKAG2_E1,chr7,151286922,151289813
PRKAG2,PRKAG2_E2,chr7,151291535,151299618
PRKAG2,PRKAG2_E3,chr7,151306607,151312232
PRKAG2,PRKAG2_E4,chr7,151320454,151327313
PRKAG2,PRKAG2_P1,chr7,151327649,151330939
PRKAG2,PRKAG2_E5,chr7,151328860,151329010
PRKAG2,PRKAG2_E6,chr7,151333984,151338691
PRKAG2,PRKAG2_E7,chr7,151347009,151349850
PRKAG2,PRKAG2_E8,chr7,151350769,151353179
PRKAG2,PRKAG2_E9,chr7,151353219,151355138
PRKAG2,PRKAG2_E10,chr7,151356059,151357210
PRKAG2,PRKAG2_E11,chr7,151358359,151367840
PRKAG2,PRKAG2_E12,chr7,151368279,151372122
PRKAG2,PRKAG2_E13,chr7,151372268,151373081
PRKAG2,PRKAG2_E14,chr7,151373369,151388375
PRKAG2,PRKAG2_E15,chr7,151388823,151398743
PRKAG2,PRKAG2_E16,chr7,151398765,151400985
PRKAG2,PRKAG2_E17,chr7,151401361,151431849
PRKAG2,PRKAG2_E18,chr7,151433300,151433450
PRKAG2,PRKAG2_P2,chr7,151433580,151433730
PRKAG2,PRKAG2_P3,chr7,151433760,151433910
PRKAG2,PRKAG2_E19,chr7,151435775,151436688
PRKAG2,PRKAG2_E20,chr7,151436702,151438044
PRKAG2,PRKAG2_E21,chr7,151439074,151446498
PRKAG2,PRKAG2_E22,chr7,151447450,151457045
PRKAG2,PRKAG2_E23,chr7,151478005,151480213
PRKAG2,PRKAG2_E24,chr7,151481421,151482437
PRKAG2,PRKAG2_E25,chr7,151493113,151495245
PRKAG2,PRKAG2_E26,chr7,151505379,151508024
PRKAG2,PRKAG2_E27,chr7,151518991,151521694
PRKAG2,PRKAG2_E28,chr7,151522492,151523154
PRKAG2,PRKAG2_E29,chr7,151535920,151536070
PRKAG2,PRKAG2_P4,chr7,151572626,151576049
PRKAG2,PRKAG2_E30,chr7,151572865,151573015
PRKAG2,PRKAG2_E31,chr7,151586870,151588380
PTPN11,PTPN11_E1,chr12,112841620,112841770
PTPN11,PTPN11_E2,chr12,112846800,112846950
PTPN11,PTPN11_E3,chr12,112847000,112847150
PTPN11,PTPN11_E4,chr12,112849420,112849570
PTPN11,PTPN11_P1,chr12,112855218,112858116
PTPN11,PTPN11_E5,chr12,112859498,112867110
PTPN11,PTPN11_E6,chr12,112905848,112909155
PTPN11,PTPN11_E7,chr12,112925904,112927506
RAF1,RAF1_E1,chr3,12663435,12664351
RAF1,RAF1_E2,chr3,12669073,12670035
RAF1,RAF1_E3,chr3,12670650,12672732
RAF1,RAF1_E4,chr3,12678818,12680438
RAF1,RAF1_E5,chr3,12682994,12685119
RAF1,RAF1_E6,chr3,12685337,12686845
RAF1,RAF1_E7,chr3,12698149,12699121
RAF1,RAF1_E8,chr3,12699627,12701487
RAF1,RAF1_E9,chr3,12701669,12702742
RAF1,RAF1_P1,chr3,12702136,12710255
RAF1,RAF1_E10,chr3,12704380,12704530
RAF1,RAF1_E11,chr3,12705300,12705450
RAF1,RAF1_E12,chr3,12716393,12717575
RAF1,RAF1_E13,chr3,12720671,12721716
RAF1,RAF1_E14,chr3,12722703,12724547
RAF1,RAF1_E15,chr3,12734143,12742280
RAF1,RAF1_E16,chr3,12744896,12746062
RAF1,RAF1_E17,chr3,12746527,12749687
RAF1,RAF1_E18,chr3,12749738,12752325
RBM20,RBM20_E1,chr10,112368604,112380378
RBM20,RBM20_E2,chr10,112385791,112391556
RBM20,RBM20_E3,chr10,112394600,112394750
RBM20,RBM20_E4,chr10,112395718,112398843
RBM20,RBM20_E5,chr10,112399298,112401043
RBM20,RBM20_P1,chr10,112401043,112405683
RBM20,RBM20_E6,chr10,112404185,112404335
RBM20,RBM20_E7,chr10,112405720,112407447
RBM20,RBM20_E8,chr10,112407484,112465064
RBM20,RBM20_E9,chr10,112465180,112476499
RBM20,RBM20_E10,chr10,112476733,112479014
RBM20,RBM20_E11,chr10,112479552,112507563
RBM20,RBM20_E12,chr10,112507674,112509120
RBM20,RBM20_E13,chr10,112509330,112511076
RBM20,RBM20_E14,chr10,112512882,112513980
RIT1,RIT1_E1,chr1,155861521,155862571
RIT1,RIT1_E2,chr1,155862640,155862790
RIT1,RIT1_E3,chr1,155863520,155863670
RIT1,RIT1_P1,chr1,155879296,155882695
RIT1,RIT1_E4,chr1,155881725,155881875
RIT1,RIT1_E5,chr1,155883860,155884010
RRAS,RRAS_E1,chr19,50133928,50136732
RRAS,RRAS_E2,chr19,50138048,50140614
RRAS,RRAS_E3,chr19,50140837,50141958
RRAS,RRAS_P1,chr19,50141309,50147174
RRAS,RRAS_E4,chr19,50142960,50143110
RYR2,RYR2_E1,chr1,237160535,237161828
RYR2,RYR2_E2,chr1,237189838,237198192
RYR2,RYR2_E3,chr1,237198475,237202173
RYR2,RYR2_P1,chr1,237204004,237207004
RYR2,RYR2_E4,chr1,237207004,237223543
RYR2,RYR2_E5,chr1,237233249,237238748
RYR2,RYR2_E6,chr1,237245724,237248476
RYR2,RYR2_E7,chr1,237248537,237251986
RYR2,RYR2_E8,chr1,237253229,237261366
RYR2,RYR2_E9,chr1,237261482,237272389
RYR2,RYR2_E10,chr1,237272623,237279295
RYR2,RYR2_E11,chr1,237279310,237281072
RYR2,RYR2_E12,chr1,237285606,237308299
RYR2,RYR2_E13,chr1,237308469,237319659
RYR2,RYR2_E14,chr1,237321497,237322516
RYR2,RYR2_E15,chr1,237326613,237328331
RYR2,RYR2_E16,chr1,237328748,237329852
RYR2,RYR2_E17,chr1,237329869,237332008
RYR2,RYR2_E18,chr1,237333219,237333960
RYR2,RYR2_E19,chr1,237334026,237335657
RYR2,RYR2_E20,chr1,237335876,237337449
RYR2,RYR2_E21,chr1,237342412,237347942
RYR2,RYR2_E22,chr1,237348047,237352164
RYR2,RYR2_E23,chr1,237352338,237355392
RYR2,RYR2_E24,chr1,237357297,237358413
RYR2,RYR2_E25,chr1,237360759,237361887
RYR2,RYR2_E26,chr1,237364095,237365438
RYR2,RYR2_E27,chr1,237367426,237369776
RYR2,RYR2_E28,chr1,237373568,237375288
RYR2,RYR2_E29,chr1,237379674,237381362
RYR2,RYR2_E30,chr1,237381566,237384256
RYR2,RYR2_E31,chr1,237389223,237390231
RYR2,RYR2_E32,chr1,237391855,237393488
RYR2,RYR2_E33,chr1,237393752,237394302
RYR2,RYR2_E34,chr1,237398084,237399711
RYR2,RYR2_E35,chr1,237401388,237403033
RYR2,RYR2_E36,chr1,237406170,237410224
RYR2,RYR2_E37,chr1,237412186,237417539
SCN5A,SCN5A_E1,chr3,38614682,38626112
SCN5A,SCN5A_E2,chr3,38626678,38631648
SCN5A,SCN5A_E3,chr3,38638833,38641027
SCN5A,SCN5A_E4,chr3,38654874,38661428
SCN5A,SCN5A_E5,chr3,38661533,38663556
SCN5A,SCN5A_E6,chr3,38671317,38673307
SCN5A,SCN5A_P1,chr3,38673216,38676090
SCN5A,SCN5A_E7,chr3,38675720,38675870
SCN5A,SCN5A_E8,chr3,38676353,38689619
SCN5A,SCN5A_P2,chr3,38689560,38692664
SCN5A,SCN5A_E9,chr3,38692565,38693283
SCN5A,SCN5A_E10,chr3,38697306,38697496
SCN5A,SCN5A_E11,chr3,38700393,38700716
SGCD,SGCD_E1,chr5,155106978,155114171
SGCD,SGCD_E2,chr5,155133050,155134293
SGCD,SGCD_E3,chr5,155302833,155303826
SGCD,SGCD_E4,chr5,155345600,155347095
SGCD,SGCD_E5,chr5,155379732,155380849
SGCD,SGCD_E6,chr5,155381709,155382322
SGCD,SGCD_E7,chr5,155405154,155407034
SGCD,SGCD_E8,chr5,155407849,155410137
SGCD,SGCD_E9,chr5,155462056,155464664
SGCD,SGCD_E10,chr5,155613046,155615393
SGCD,SGCD_E11,chr5,155698067,155698858
SGCD,SGCD_P1,chr5,155752256,155755527
SGCD,SGCD_E12,chr5,155754405,155754555
SGCD,SGCD_E13,chr5,155755266,155756922
SGCD,SGCD_E14,chr5,155757029,155759993
SGCD,SGCD_E15,chr5,155760860,155762199
SGCD,SGCD_E16,chr5,155763547,155766516
SGCD,SGCD_E17,chr5,155774781,155780156
SGCD,SGCD_E18,chr5,155783380,155783530
SGCD,SGCD_E19,chr5,155786900,155787050
SGCD,SGCD_E20,chr5,155788580,155788730
SGCD,SGCD_E21,chr5,155793680,155793830
SGCD,SGCD_E22,chr5,155796546,155797804
SGCD,SGCD_E23,chr5,155819196,155820211
SGCD,SGCD_E24,chr5,155821655,155825064
SGCD,SGCD_E25,chr5,155837405,155839149
SGCD,SGCD_E26,chr5,155848505,155850090
SGCD,SGCD_E27,chr5,155871423,155873393
SGCD,SGCD_E28,chr5,155900458,155903524
SGCD,SGCD_E29,chr5,155923169,155925479
SGCD,SGCD_E30,chr5,156002132,156015122
SHOC2,SHOC2_P1,chr10,112677805,112680555
SHOC2,SHOC2_E1,chr10,112678600,112678750
SHOC2,SHOC2_E2,chr10,112679400,112679550
SHOC2,SHOC2_E3,chr10,112685977,112687779
SHOC2,SHOC2_E4,chr10,112768965,112771598
SLC22A5,SLC22A5_P1,chr5,131703944,131706694
SLC22A5,SLC22A5_E1,chr5,131705805,131705955
SLC25A4,SLC25A4_E1,chr4,186007197,186010882
SLC25A4,SLC25A4_E2,chr4,186015589,186018363
SLC25A4,SLC25A4_E3,chr4,186032130,186035839
SLC25A4,SLC25A4_E4,chr4,186036009,186037750
SLC25A4,SLC25A4_E5,chr4,186039874,186041975
SLC25A4,SLC25A4_E6,chr4,186047873,186050714
SLC25A4,SLC25A4_E7,chr4,186055702,186055856
SLC25A4,SLC25A4_E8,chr4,186055972,186061906
SLC25A4,SLC25A4_P1,chr4,186062787,186065894
SLC25A4,SLC25A4_E9,chr4,186062795,186063340
SLC25A4,SLC25A4_E10,chr4,186064045,186064195
SLC25A4,SLC25A4_E11,chr4,186065894,186071458
SOS1,SOS1_E1,chr2,39278406,39280684
SOS1,SOS1_E2,chr2,39327302,39328616
SOS1,SOS1_E3,chr2,39333397,39334626
SOS1,SOS1_E4,chr2,39342060,39342195
SOS1,SOS1_P1,chr2,39346354,39349692
SOS1,SOS1_E5,chr2,39347305,39347455
SOS1,SOS1_E6,chr2,39347905,39348055
SOS1,SOS1_P2,chr2,39349986,39350490
SOS1,SOS1_P3,chr2,39351066,39352090
SOS1,SOS1_E7,chr2,39351880,39352030
SOS1,SOS1_E8,chr2,39352045,39352195
SOS1,SOS1_E9,chr2,39355125,39355275
SOS1,SOS1_E10,chr2,39355320,39355470
SOS1,SOS1_E11,chr2,39356089,39356500
SOS1,SOS1_E12,chr2,39362307,39363514
SOS1,SOS1_E13,chr2,39366109,39367358
SOS1,SOS1_E14,chr2,39388091,39389693
SOS1,SOS1_E15,chr2,39393756,39394889
TCAP,TCAP_E1,chr17,37808041,37818939
TCAP,TCAP_P1,chr17,37818939,37826500
TCAP,TCAP_E2,chr17,37819905,37820055
TCAP,TCAP_E3,chr17,37828300,37828450
TCAP,TCAP_E4,chr17,37828525,37828675
TCAP,TCAP_E5,chr17,37831240,37831390
TGFB3,TGFB3_E1,chr14,76285809,76293786
TGFB3,TGFB3_E2,chr14,76298230,76299833
TGFB3,TGFB3_E3,chr14,76301014,76302054
TGFB3,TGFB3_E4,chr14,76315541,76318890
TGFB3,TGFB3_E5,chr14,76321118,76325418
TGFB3,TGFB3_E6,chr14,76326961,76328134
TGFB3,TGFB3_E7,chr14,76332962,76336595
TGFB3,TGFB3_E8,chr14,76342151,76344647
TGFB3,TGFB3_E9,chr14,76368724,76373375
TGFB3,TGFB3_E10,chr14,76381527,76385752
TGFB3,TGFB3_E11,chr14,76393829,76395784
TGFB3,TGFB3_E12,chr14,76400804,76402323
TGFB3,TGFB3_E13,chr14,76407251,76408123
TGFB3,TGFB3_E14,chr14,76442996,76443428
TGFB3,TGFB3_E15,chr14,76443545,76443981
TGFB3,TGFB3_E16,chr14,76443992,76444190
TGFB3,TGFB3_E17,chr14,76444840,76444990
TGFB3,TGFB3_E18,chr14,76445685,76445835
TGFB3,TGFB3_P1,chr14,76445836,76453603
TGFB3,TGFB3_E19,chr14,76446205,76446355
TGFB3,TGFB3_E20,chr14,76447840,76447990
TGFB3,TGFB3_E21,chr14,76448520,76448670
TGFB3,TGFB3_E22,chr14,76451156,76451346
TGFB3,TGFB3_E23,chr14,76452265,76452415
TGFB3,TGFB3_E24,chr14,76452600,76452750
TGFB3,TGFB3_E25,chr14,76452840,76452990
TGFB3,TGFB3_E26,chr14,76455558,76455875
TMEM43,TMEM43_P1,chr3,14164940,14167690
TMEM43,TMEM43_E1,chr3,14166665,14166815
TMEM43,TMEM43_E2,chr3,14167939,14169314
TMEM43,TMEM43_E3,chr3,14171598,14175216
TMEM43,TMEM43_E4,chr3,14180143,14184722
TMEM43,TMEM43_E5,chr3,14185245,14185395
TMEM43,TMEM43_E6,chr3,14187989,14190761
TMEM70,TMEM70_E1,chr8,74847565,74847919
TMEM70,TMEM70_P1,chr8,74883960,74884110
TMEM70,TMEM70_E2,chr8,74884900,74885050
TMEM70,TMEM70_P2,chr8,74886944,74889943
TMEM70,TMEM70_E3,chr8,74888760,74888910
TMEM70,TMEM70_E4,chr8,74888920,74889070
TMEM70,TMEM70_E5,chr8,74905000,74905150
TNNC1,TNNC1_E1,chr3,52480543,52486586
TNNC1,TNNC1_P1,chr3,52486836,52489586
TNNI3,TNNI3_P1,chr19,55667166,55673091
TNNT2,TNNT2_E1,chr1,201301400,201302313
TNNT2,TNNT2_E2,chr1,201304927,201306449
TNNT2,TNNT2_E3,chr1,201315961,201319634
TNNT2,TNNT2_E4,chr1,201321889,201331816
TNNT2,TNNT2_E5,chr1,201334816,201340882
TNNT2,TNNT2_P1,chr1,201340408,201343882
TNNT2,TNNT2_E6,chr1,201343882,201345289
TNNT2,TNNT2_P2,chr1,201345144,201348433
TNNT2,TNNT2_E7,chr1,201348390,201351201
TNNT2,TNNT2_E8,chr1,201354201,201355512
TNNT2,TNNT2_E9,chr1,201356229,201357209
TPM1,TPM1_E1,chr15,63225512,63228101
TPM1,TPM1_E2,chr15,63231418,63236225
TPM1,TPM1_E3,chr15,63248497,63251711
TPM1,TPM1_E4,chr15,63251805,63252628
TPM1,TPM1_E5,chr15,63266903,63271627
TPM1,TPM1_E6,chr15,63275356,63278426
TPM1,TPM1_E7,chr15,63286202,63287833
TPM1,TPM1_E8,chr15,63288442,63293573
TPM1,TPM1_E9,chr15,63294426,63297737
TPM1,TPM1_E10,chr15,63298359,63299350
TPM1,TPM1_E11,chr15,63304331,63306634
TPM1,TPM1_E12,chr15,63306677,63313515
TPM1,TPM1_E13,chr15,63314009,63319524
TPM1,TPM1_E14,chr15,63326190,63328102
TPM1,TPM1_E15,chr15,63329994,63330871
TPM1,TPM1_E16,chr15,63332464,63333330
TPM1,TPM1_P1,chr15,63333330,63336481
TPM1,TPM1_E17,chr15,63334420,63334570
TPM1,TPM1_E18,chr15,63335165,63335315
TPM1,TPM1_E19,chr15,63336456,63339064
TPM1,TPM1_P2,chr15,63339050,63343086
TPM1,TPM1_E20,chr15,63339505,63339655
TPM1,TPM1_E21,chr15,63340720,63340870
TPM1,TPM1_E22,chr15,63343086,63350483
TPM1,TPM1_E23,chr15,63351046,63362610
TPM1,TPM1_E24,chr15,63365610,63368859
TPM1,TPM1_E25,chr15,63371330,63377068
TTN,TTN_E1,chr2,179657361,179662929
TTN,TTN_E2,chr2,179663217,179668523
TTN,TTN_E3,chr2,179668552,179670338
TTN,TTN_P1,chr2,179668772,179673650
TTN,TTN_E4,chr2,179673650,179674542
TTN,TTN_E5,chr2,179675496,179677582
TTN,TTN_E6,chr2,179683740,179686116
TTN,TTN_E7,chr2,179692141,179693587
TTN,TTN_E8,chr2,179698398,179702614
TTN,TTN_E9,chr2,179717263,179718466
TTN,TTN_E10,chr2,179722153,179727536
TTN,TTN_E11,chr2,179727573,179732176
TTN,TTN_E12,chr2,179732490,179737203
TTN,TTN_E13,chr2,179738954,179740445
TTN,TTN_E14,chr2,179742310,179743195
TTN,TTN_E15,chr2,179747108,179748139
TTN,TTN_E16,chr2,179751894,179755536
TTN,TTN_E17,chr2,179756630,179758233
TTN,TTN_E18,chr2,179759605,179762048
TTN,TTN_E19,chr2,179768931,179770651
TTN,TTN_E20,chr2,179773859,179775753
TTN,TTN_E21,chr2,179777200,179778036
TTN,TTN_E22,chr2,179780115,179781679
TTR,TTR_P1,chr18,29169908,29173081
TTR,TTR_E1,chr18,29173431,29178983
TTR,TTR_E2,chr18,29190673,29192154
VCL,VCL_E1,chr10,75724310,75729957
VCL,VCL_E2,chr10,75752758,75753844
VCL,VCL_P1,chr10,75756372,75759471
VCL,VCL_E3,chr10,75758005,75758155
VCL,VCL_E4,chr10,75758620,75758770
VCL,VCL_E5,chr10,75758960,75759110
VCL,VCL_E6,chr10,75759373,75761482
VCL,VCL_E7,chr10,75762811,75763394
VCL,VCL_E8,chr10,75766394,75773218
VCL,VCL_E9,chr10,75777161,75782173
VCL,VCL_E10,chr10,75786747,75791430
VCL,VCL_E11,chr10,75792802,75795109
VCL,VCL_E12,chr10,75796822,75797913
VCL,VCL_E13,chr10,75798652,75801033
VCL,VCL_E14,chr10,75808417,75812547
VCL,VCL_E15,chr10,75813949,75821355
VCL,VCL_E16,chr10,75823359,75824416
VCL,VCL_E17,chr10,75830096,75834420
,,,,
"CMP, Cardiomyopathy; P, promoter; E, Enhancer.",,,,
